15301#Northland
15302#Auckland
15303#Waikato
15304#Bay of Plenty
15305#Gisborne
15306#Hawke's Bay
15307#Taranaki
15308#Manawatu-Wanganui
15309#Wellington
15310#Tasman
15311#Nelson
15312#Marlborough
15313#West Coast
15314#Canterbury
15315#Otago
15316#Southland
