5601#Antwerpen
5602#Oost-Vlaanderen
5603#Vlaams-Brabant
5604#Henegouwen
5605#Luik
5606#Limburg
5607#Luxemburg
5608#Namen
5600#Waals-Brabant
5610#West-Vlaanderen
