1401#Ashmore and Cartier Islands
1402#Australian Antarctic Territory
1403#Australian Capital Territory
1404#Christmas Island
1405#Cocos (Keeling) Islands
1406#Coral Sea Islands
1407#Heard Island and McDonald Islands
1408#Jervis Bay Territory
1409#New South Wales
1410#Norfolk Island
1411#Northern Territory
1412#Queensland
1413#South Australia
1414#Tasmania
1415#Victoria
1416#Western Australia
