14201#Aguascalientes
14202#Baja California
14203#Baja California Sur
14204#Campeche
14205#Chiapas
14206#Chihuahua
14207#Coahuila
14208#Colima
14209#Distrito Federal
14210#Durango
14211#Guanajuato
14212#Guerrero
14213#Hidalgo
14214#Jalisco
14215#México
14216#Michoacán
14217#Morelos
14218#Nayarit
14219#Nuevo León
14220#Oaxaca
14221#Puebla
14222#Querétaro
14223#Quintana Roo
14224#San Luis Potosí
14225#Sinaloa
14226#Sonora
14227#Tabasco
14228#Tamaulipas
14229#Tlaxcala
14230#Veracruz
14231#Yucatán
14232#Zacatecas
