20601#Aargau
20602#Appenzell Ausserrhoden
20603#Appenzell Innerrhoden
20604#Basel-Landschaft
20605#Basel-Stadt
20606#Bern
20607#Fribourg
20608#Geneva
20609#Glarus
20610#Graubünden
20611#Jura
20612#Lucerne
20613#Neuchâtel
20614#Nidwalden
20615#Obwalden
20616#Schaffhausen
20617#Schwyz
20618#Solothurn
20619#St. Gallen
20620#Switzerland
20621#Thurgau
20622#Ticino
20623#Uri
20624#Valais
20625#Vaud
20626#Zug
20627#Zurich
