10101#Andaman and Nicobar Islands
10102#Andra Pradesh
10103#Arunachal Pradesh
10104#Assam
10105#Bihar
10106#Chandigarh
10107#Chhattisgarh
10108#Dadar and Nagar Haveli
10109#Daman and Diu
10110#Delhi 
10111#Goa
10112#Gujarat
10113#Haryana
10114#Himachal Pradesh
10115#Jammu and Kashmir
10116#Jharkhand
10117#Karnataka
10118#Kerala
10119#Lakshadeep
10120#Madya Pradesh
10121#Maharashtra
10122#Manipur
10123#Meghalaya
10124#Mizoram
10125#Nagaland
10126#Orissa
10127#Pondicherry
10128#Punjab
10129#Rajasthan
10130#Sikkim
10131#Tamil Nadu
10132#Tripura
10133#Uttar Pradesh
10134#Uttaranchal
10135#West Bengal
