8101#Baden-Wurttemberg
8102#Bavaria
8103#Berlin
8104#Brandenburg
8105#Bremen
8106#Hamburg
8107#Hesse
8108#Lower Saxony
8109#Mecklenburg-West Pomerania
8110#North Rhine-Westphalia
8111#Rhineland-Palatinate
8112#Saarland
8113#Saxony
8114#Saxony-Anhalt
8115#Schleswig-Holstein
8116#Thuringia
