13801#Aguascalientes
13802#Baja California
13803#Baja California Sur
13804#Campeche
13805#Chiapas
13806#Chihuahua
13807#Coahuila
13808#Colima
13809#Distrito Federal
13810#Durango
13811#Guanajuato
13812#Guerrero
13813#Hidalgo
13814#Jalisco
13815#México
13816#Michoacán
13817#Morelos
13818#Nayarit
13819#Nuevo León
13820#Oaxaca
13821#Puebla
13822#Querétaro
13823#Quintana Roo
13824#San Luis Potosí
13825#Sinaloa
13826#Sonora
13827#Tabasco
13828#Tamaulipas
13829#Tlaxcala
13830#Veracruz
13831#Yucatán
13832#Zacatecas
